current_price,predicted_price,predicted_return_%,signal,confidence_%
2391.699951171875,2541.3005,6.25,BUY,100.0
2440.800048828125,2526.7617,3.52,BUY,70.4
2356.0,2509.736,6.53,BUY,100.0
2390.60009765625,2498.0483,4.49,BUY,89.9
2383.800048828125,2487.4727,4.35,BUY,87.0
2398.800048828125,2479.89,3.38,BUY,67.6
2377.39990234375,2471.6238,3.96,BUY,79.3
2389.800048828125,2466.1997,3.2,BUY,63.9
2358.89990234375,2458.996,4.24,BUY,84.9
2408.199951171875,2457.7627,2.06,BUY,41.2
2450.699951171875,2462.9395,0.5,HOLD,10.0
2473.89990234375,2473.4526,-0.02,HOLD,0.4
2539.800048828125,2490.938,-1.92,SELL,38.5
2559.199951171875,2512.2607,-1.83,SELL,36.7
2589.0,2536.315,-2.03,SELL,40.7
2524.300048828125,2552.599,1.12,BUY,22.4
2472.60009765625,2559.5127,3.52,BUY,70.3
2554.89990234375,2567.9578,0.51,HOLD,10.2
2576.89990234375,2577.1487,0.01,HOLD,0.2
